seg_id2,STAID,HUC02,STATE,DRAIN_SQKM,LAT_GAGE,LNG_GAGE,STANAME
17003257,14325000,17,OR,443.0745,42.891499,-124.070652,SOUTH FORK COQUILLE RIVER AT POWERS OR
17003595,12108500,17,WA,71.07653,47.275656,-122.059559,NEWAUKUM CREEK NEAR BLACK DIAMOND WA
17003905,12048000,17,WA,405.0063,48.014258,-123.132677,DUNGENESS RIVER NEAR SEQUIM WA
17004024,10396000,17,OR,528.894,42.790833,-118.8675,DONNER UND BLITZEN RIVER NR FRENCHGLEN OR
17004247,13235000,17,ID,1163.229,44.085278,-115.622222,SF PAYETTE RIVER AT LOWMAN ID
17004309,13240000,17,ID,125.5698,44.913611,-115.997222,LAKE FORK PAYETTE RIVER AB JUMBO CR NR MCCALL ID
17004500,14222500,17,WA,323.8893,45.836781,-122.466208,EAST FORK LEWIS RIVER NEAR HEISSON WA
17004586,12175500,17,WA,273.8205,48.672629,-121.072896,THUNDER CREEK NEAR NEWHALEM WA
17004620,12189500,17,WA,1855.317,48.424559,-121.568463,SAUK RIVER NEAR SAUK WA
17004623,12186000,17,WA,398.4354,48.16872,-121.470672,SAUK RIVER AB WHITECHUCK RIVER NEAR DARRINGTON WA
17004667,12167000,17,WA,683.7525,48.261492,-122.047641,NF STILLAGUAMISH RIVER NEAR ARLINGTON WA
17004696,12083000,17,WA,198.7866,46.744274,-122.144553,MINERAL CREEK NEAR MINERAL WA
17004699,12082500,17,WA,349.9983,46.752608,-122.083719,NISQUALLY RIVER NEAR NATIONAL WA
17004713,12056500,17,WA,146.9715,47.514257,-123.329887,NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT WA
17004741,12054000,17,WA,171.675,47.683981,-123.011551,DUCKABUSH RIVER NEAR BRINNON WA
17004910,12332000,17,MT,315.1476,46.184493,-113.502474,Middle Fork Rock Cr nr Philipsburg MT
17005079,12413000,17,ID,2325.166,47.568889,-116.253333,NF COEUR D ALENE RIVER AT ENAVILLE ID
17005085,12411000,17,ID,867.4833,47.706111,-115.979167,NF COEUR D ALENE R AB SHOSHONE CK NR PRICHARD ID
17005228,12488500,17,WA,205.1703,46.977616,-121.168696,AMERICAN RIVER NEAR NILE WA
17005249,13023000,17,WY,1161.929,43.142778,-110.976667,GREYS RIVER AB RESERVOIR NR ALPINE WY
17005612,12115500,17,WA,34.7184,47.350662,-121.663158,REX RIVER NEAR CEDAR FALLS WA
17005615,12115000,17,WA,102.7983,47.370107,-121.625101,CEDAR RIVER NEAR CEDAR FALLS WA
18000175,11468500,18,CA,273.5145,39.428224,-123.737792,NOYO R NR FORT BRAGG CA
18000176,11468000,18,CA,785.8926,39.172123,-123.669458,NAVARRO R NR NAVARRO CA
18000194,11478500,18,CA,572.3766,40.480416,-123.890876,VAN DUZEN R NR BRIDGEVILLE CA
18000386,11274500,18,CA,347.7503,37.315492,-121.125208,ORESTIMBA C NR NEWMAN CA
18000722,11449500,18,CA,95.3343,38.9274,-122.843605,KELSEY C NR KELSEYVILLE CA
18000734,11381500,18,CA,337.6305,40.054602,-122.024154,MILL C NR LOS MOLINOS CA
18000744,11383500,18,CA,539.7753,40.014047,-121.948318,DEER C NR VINA CA
18000878,11143000,18,CA,120.6126,36.245796,-121.773287,BIG SUR R NR BIG SUR CA
18001060,11522500,18,CA,1943.12,41.377627,-123.477558,SALMON R A SOMES BAR CA
18001180,11482500,18,CA,718.0398,41.29929,-124.051182,REDWOOD C A ORICK CA
18001248,11224500,18,CA,247.4352,36.214677,-120.470712,LOS GATOS C AB NUNEZ CYN NR COALINGA CA
18001542,11315000,18,CA,54.0108,38.519078,-120.212693,COLE C NR SALT SPRINGS DAM CA
18001731,11237500,18,CA,59.8239,37.198557,-119.213733,PITMAN C BL TAMARACK C CA
18001746,11230500,18,CA,135.5301,37.339386,-118.973451,BEAR C NR LAKE THOMAS A EDISON CA
18001897,11120500,18,CA,14.3649,34.459163,-119.809028,SAN JOSE C NR GOLETA CA
18001955,11124500,18,CA,191.5227,34.596656,-119.908752,SANTA CRUZ C NR SANTA YNEZ CA
18002095,11162500,18,CA,118.8711,37.260777,-122.32886,PESCADERO C NR PESCADERO CA
18002451,11264500,18,CA,467.9761,37.731593,-119.558774,MERCED R A HAPPY ISLES BRIDGE NR YOSEMITE CA
18002453,11266500,18,CA,833.0817,37.716871,-119.666279,MERCED R A POHONO BRIDGE NR YOSEMITE CA
18002526,11532500,18,CA,1577.962,41.791503,-124.076189,SMITH R NR CRESCENT CITY CA
18002545,11098000,18,CA,41.5665,34.222226,-118.177573,ARROYO SECO NR PASADENA CA
18002751,10259000,18,CA,22.4568,33.760021,-116.550015,ANDREAS C NR PALM SPRINGS CA
18002762,10258000,18,CA,43.6914,33.805019,-116.559182,TAHQUITZ C NR PALM SPRINGS CA
18002766,10258500,18,CA,241.5123,33.745022,-116.535571,PALM CYN C NR PALM SPRINGS CA
18002864,10263500,18,CA,59.4639,34.420831,-117.839507,BIG ROCK C NR VALYERMO CA
